RefCode,Author,Year,Type,Reference,BatVouchers,FlyVouchers,AssociatedReferences
BFR155,Peterson and Maa,1970,Article,"Peterson, B. V., and T. C. Maa. 1970. A new species of Basilia (Diptera: Nycteribiidae) from Colombia. The Canadian Entomologist 102:1519–1523.",NA,"Canadian National Collention, Otawa, Canada",NA
BFR156,Peterson and Lacey,1985,Article,"Peterson, B. V., and L. A. Lacey. 1985. A New Species Of Hershkovitzia (Diptera, Nycteribiidae) From Brazil, With A Key To The Described Species Of The Genus. Proceedings of The Entomological Society of Washington 87:578–582.",NA,"Museu de Zoologia da Universidade de São Paulo, Brazil",NA
BFR157,Raigosa Álvarez et al.,2020,Article,"Raigosa Álvarez, J. R., C. García Osorio, A. G. Autino, and L. Gomes Dias. 2020. First records of ectoparasitic insects (Diptera: Hippoboscoidea) of bats in the department of Caldas, Colombia. Papeis Avulsos de Zoologia 60:1–9.",NA,NA,NA
BFR158,Reisen et al.,1976,Article,"Reisen, W. K., M. L. Kennedy, and N. T. Reisen. 1976. Winter Ecology of Ectoparasites Collected from Hibernating Myotis velifer (Allen) in Southwestern Oklahoma (Chiroptera : Vespertilionidae). The Journal of Parasitology 62:628–635.",NA,NA,NA
BFR159,Saldaña-Vázquez et al.,2013,Article,"Saldaña-Vázquez, R. A., A. A. Castro-Luna, C. A. Sandoval-Ruiz, J. R. Hernández-Montero, and K. E. Stoner. 2013. Population Composition and Ectoparasite Prevalence on Bats ( Sturnira ludovici ; Phyllostomidae) in Forest Fragments and Coffee Plantations of Central Veracruz, Mexico. Biotropica 45:351–356.",NA,NA,NA
BFR160,Smit & Miller,2019,Article,"Smit, J. T., and J. Miller. 2019. Bat Ectoparasites from Sint Eustatius, Lesser Antilles (Diptera: Hippoboscidae: Streblinae; Hemiptera: Polyctenidae). Journal of Parasitology 105:45.",NA,NA,NA
BFR161,Tonn & Arnold,1963,Article,"Tonn, R. J., and K. Arnold. 1965. Ectoparásitos de aves y mamíferos de Costa Rica: I. Diptera. Revista De Biologia Tropical 11:171–176.",Museo Universidad de Lousiana. Museo Universidad de Costa Rica,"Escuela de Microbiologia, de la Universidad de Costa Rica. Museo de Historia Natural de la Universidad del Estado de Louisiana",NA
BFR162,Uberlaker,1966,Article,"Ubelaker, J. E. 1966. Parasites of the Gray Bat, Myotis grisescens, in Kansas. American Midland Naturalist 75:199–204.",NA,NA,NA
BFR163,Urbieta et al.,2014,Article,"Urbieta, G. L., J. M. Torres, L. B. M. Almeida, A. Shinohara, and E. A. C. Dos Anjos. 2014. Infestação de morcegos (Mammalia , Chiroptera) por moscas do gênero Megistopoda (Diptera , Streblidae) em um fragmgmento urbano de Cerrado de Campo Grande, Mato Grosso do Sul. Bol. Soc. Bras. Mastozool. 69:10–13.",coleção zoológica e entomológica da Universidade Católica Dom Bosco,coleção zoológica e entomológica da Universidade Católica Dom Bosco,NA
BFR164,Valdez et al.,2009,Article,"Valdez, E. W., C. M. Ritzi, and J. O. Whitaker. 2009. Ectoparasites of the Occult Bat, Myotis occultus (Chiroptera: Vespertilionidae). Western North American Naturalist 69:364–370.","Museum of Southwestern Biology (MSB), University of New Mexico, Albuquerque",NA,NA
BFR165,Velazco et al.,2014,Article,"Velazco, P. M., A. G. Autino, and G. L. Claps. 2014. New record of the ectoparasite insect Speiseria ambigua Kessel, 1925 (Diptera: Streblidae) of Platalina genovensium Thomas, 1928 (Chiroptera: Phyllostomidae) from Peru. Check List 10:1525.","American Museum of Natural History, New York, USA (AMNH). The Centro de Ecología y Biodiversidad, Lima, Peru (CEBIO).","American Museum of Natural History, New York, USA (AMNH) and Colección de Anexos (ACML), de la Universidad Nacional de Tucumán y Fundación Miguel Lillo.",NA
